             レースID  馬番           pred_score
5702  202307040201   1  66.5670700000000011
5718  202307040202   4  28.2180269999999993
5727  202307040203  15  31.9633579999999995
5752  202307040204  12  35.1025160000000014
5758  202307040206   9  43.5397760000000034
5771  202307040207   6   39.693171999999997
5779  202307040208   7  34.9395999999999987
5791  202307040209   6   32.157352000000003
5807  202307040210   9  32.2341160000000002
5817  202307040211   3  39.2434769999999986
5840  202307040212   6  48.3377040000000022
5843  202307040301   8  39.2434769999999986
5867  202307040302   4  31.9685880000000004
5874  202307040303   6  39.7266159999999999
5880  202307040304  14  43.5397760000000034
5909  202307040305   9  35.1035540000000026
5920  202307040306  11            27.324427
5933  202307040307  11  40.1125680000000031
5956  202307040308  14  44.7671550000000025
5967  202307040309  12  30.7945749999999983
5979  202307040310  10  27.7084350000000015
5994  202307040311   5  44.2924420000000012
6008  202307040312   3  27.4088419999999999
6019  202307040401   7  39.2434769999999986
6031  202307040402   2  27.6656820000000003
6042  202307040403   2  42.0119929999999968
6058  202307040404   3  30.7945059999999984
6080  202307040406   2  45.2271420000000006
6085  202307040407  10  39.7183270000000022
6096  202307040408   1  31.6094909999999985
6114  202307040409  15  40.9617840000000015
6133  202307040410   7  45.2218250000000026
6137  202307040411   2  26.3106140000000011
6156  202307040412   4  34.9710600000000014
6158  202307040501  11  26.4779550000000015
6183  202307040502  14  40.8310170000000028
6204  202307040503   9  31.5104369999999996
6205  202307040504   1  43.7067570000000032
6219  202307040506   9  34.8675229999999985
6246  202307040507  12   40.071587000000001
6252  202307040508  13  27.4195649999999986
6276  202307040509  10  48.7100330000000028
6284  202307040510   7  26.2386200000000009
6294  202307040511  13  40.5452769999999987
6323  202307040512  18  32.1545699999999997
6338  202307040601   6  39.2039100000000005
6350  202307040602  15  41.9776039999999995
6370  202307040603   3  31.8731609999999996
6371  202307040604   3  30.6287079999999996
6393  202307040606   7  35.8168099999999967
6411  202307040607  11  39.7165899999999965
6422  202307040608   8  36.3157700000000006
6436  202307040609   4  30.7985129999999998
6454  202307040610   7  27.0041620000000009
6467  202307040611  10  32.3415200000000027
6477  202307040612   3  48.3182329999999993
6484  202407010101   9  31.9703429999999997
6512  202407010102  16  31.1285600000000002
6524  202407010103  10 130.9497000000000071
6539  202407010104   7  40.2899299999999982
6551  202407010105   3   35.812420000000003
6567  202407010106  10  40.3355400000000017
6574  202407010107   5  47.8290440000000032
6580  202407010108   4  40.1478040000000007
6601  202407010109   1  27.0247139999999995
6603  202407010110   9  45.5459480000000028
6616  202407010111   4  30.8271349999999984
6635  202407010112   3  31.7718980000000002
6644  202407010201   7  39.7021519999999981
6670  202407010202  13  27.6243610000000004
6682  202407010203   2  30.7980300000000007
6693  202407010204   7  67.3497399999999971
6700  202407010205   2  47.8290440000000032
6716  202407010206   4   40.079740000000001
6725  202407010207  10  36.4649000000000001
6738  202407010208   4  44.2167930000000027
6740  202407010209   3  32.5099829999999983
6755  202407010210   9   31.630749999999999
6759  202407010211  13  44.2876660000000015
6781  202407010212   7   31.627400999999999
6788  202407010301   7  26.3108399999999989
6809  202407010302  12  39.8003229999999988
